axis,angle_degrees,qm_relative_energy_kcal_mol,c1_mm_relaxed_relative_energy_kcal_mol,residual_qm_minus_mm_kcal_mol,low_energy_weight,sampled_status,critical_point_classification
CHI,-180,1.8361875979134048,0.9600038671345033,0.8761837307789015,0.9788516436396577,AUTHORITATIVE_CALCULATED,REGULAR
CHI,-165,1.4130028718141248,1.1985021055187417,0.21450076629538306,0.9948130917706692,AUTHORITATIVE_CALCULATED,REGULAR
CHI,-150,1.3982414847839755,1.9597226764204123,-0.5614811916364368,0.9951766559274802,AUTHORITATIVE_CALCULATED,LOCAL_MINIMUM
CHI,-135,1.7201805587324959,2.791029821077842,-1.0708492623453463,0.9842837425276525,AUTHORITATIVE_CALCULATED,REGULAR
CHI,-120,2.1004462123625456,3.147769976801605,-1.0473237644390596,0.9635627477672262,AUTHORITATIVE_CALCULATED,REGULAR
CHI,-105,2.282405294363951,2.6993826727300387,-0.41697737836608795,0.9507347133696802,AUTHORITATIVE_CALCULATED,BARRIER
CHI,-90,2.191846518770847,1.7150916271229733,0.4767548916478739,0.9573496850020089,AUTHORITATIVE_CALCULATED,REGULAR
CHI,-75,1.9493375527533943,0.7280487456448412,1.221288807108553,0.9727969169773795,AUTHORITATIVE_CALCULATED,REGULAR
CHI,-60,1.7582771045303314,0.22136551506014257,1.5369115894701888,0.982587000779749,AUTHORITATIVE_CALCULATED,REGULAR
CHI,-45,1.7517423921353694,0.35089777339362627,1.4008446187417432,0.9828841157078612,AUTHORITATIVE_CALCULATED,LOCAL_MINIMUM
CHI,-30,1.8731815879809242,0.9701925301257859,0.9029890578551383,0.9769538151363308,AUTHORITATIVE_CALCULATED,REGULAR
CHI,-15,1.8830474967830666,1.6361622554444182,0.24688524133864842,0.97643423718791,AUTHORITATIVE_CALCULATED,BARRIER
CHI,0,1.53761834092137,1.8478576779244804,-0.31023933700311046,0.9912213459039814,AUTHORITATIVE_CALCULATED,REGULAR
