"polymer_entity_id","pdb_id","entity_id","score"
"10AY_2","10AY","2",1.3990884666666665
"10EN_2","10EN","2",1.3990884666666665
"10EZ_2","10EZ","2",1.3990884666666665
"10FD_1","10FD","1",1.3990884666666665
"10FO_2","10FO","2",1.3990884666666665
"10TC_1","10TC","1",1.3990884666666665
"11EX_1","11EX","1",1.3990884666666665
"11TH_3","11TH","3",1.3990884666666665
"11TK_1","11TK","1",1.3990884666666665
"11TL_1","11TL","1",1.3990884666666665
"12BM_7","12BM","7",1.3990884666666665
"12BM_9","12BM","9",1.3990884666666665
"12FH_1","12FH","1",1.3990884666666665
"12IZ_5","12IZ","5",1.3990884666666665
"13FJ_1","13FJ","1",1.3990884666666665
"13SA_1","13SA","1",1.3990884666666665
"13SD_1","13SD","1",1.3990884666666665
"13SE_1","13SE","1",1.3990884666666665
"13SF_1","13SF","1",1.3990884666666665
"13SI_1","13SI","1",1.3990884666666665
"13SL_1","13SL","1",1.3990884666666665
"13SO_1","13SO","1",1.3990884666666665
"13SS_1","13SS","1",1.3990884666666665
"13SV_1","13SV","1",1.3990884666666665
"13SX_1","13SX","1",1.3990884666666665
"13SY_1","13SY","1",1.3990884666666665
"13SZ_1","13SZ","1",1.3990884666666665
"13TA_1","13TA","1",1.3990884666666665
"1A35_3","1A35","3",1.3990884666666665
"1A36_3","1A36","3",1.3990884666666665
"1A6Q_1","1A6Q","1",1.3990884666666665
"1AO6_1","1AO6","1",1.3990884666666665
"1AUK_1","1AUK","1",1.3990884666666665
"1AUT_2","1AUT","2",1.3990884666666665
"1B3A_1","1B3A","1",1.3990884666666665
"1B55_1","1B55","1",1.3990884666666665
"1B6E_1","1B6E","1",1.3990884666666665
"1BJ1_3","1BJ1","3",1.3990884666666665
"1BKE_1","1BKE","1",1.3990884666666665
"1BSX_1","1BSX","1",1.3990884666666665
"1DB5_1","1DB5","1",1.3990884666666665
"1DOK_1","1DOK","1",1.3990884666666665
"1DOL_1","1DOL","1",1.3990884666666665
"1DQ9_1","1DQ9","1",1.3990884666666665
"1E33_1","1E33","1",1.3990884666666665
"1E3C_1","1E3C","1",1.3990884666666665
"1E7E_1","1E7E","1",1.3990884666666665
"1E7F_1","1E7F","1",1.3990884666666665
"1E7H_1","1E7H","1",1.3990884666666665
"1EJF_1","1EJF","1",1.3990884666666665
"1ESR_1","1ESR","1",1.3990884666666665
"1EXU_1","1EXU","1",1.3990884666666665
"1FPZ_1","1FPZ","1",1.3990884666666665
"1FRO_1","1FRO","1",1.3990884666666665
"1G7A_1","1G7A","1",1.3990884666666665
"1G9O_1","1G9O","1",1.3990884666666665
"1GMY_1","1GMY","1",1.3990884666666665
"1GNJ_1","1GNJ","1",1.3990884666666665
"1H9Z_1","1H9Z","1",1.3990884666666665
"1HDZ_1","1HDZ","1",1.3990884666666665
"1HK5_1","1HK5","1",1.3990884666666665
"1HSZ_1","1HSZ","1",1.3990884666666665
"1HT0_1","1HT0","1",1.3990884666666665
"1HWJ_1","1HWJ","1",1.3990884666666665
"1I7G_1","1I7G","1",1.3990884666666665
"1IGR_1","1IGR","1",1.3990884666666665
"1IJU_1","1IJU","1",1.3990884666666665
"1IT6_1","1IT6","1",1.3990884666666665
"1IVY_1","1IVY","1",1.3990884666666665
"1J1A_1","1J1A","1",1.3990884666666665
"1J7E_1","1J7E","1",1.3990884666666665
"1JR2_1","1JR2","1",1.3990884666666665
"1JUO_1","1JUO","1",1.3990884666666665
"1K4T_4","1K4T","4",1.3990884666666665
"1K7L_1","1K7L","1",1.3990884666666665
"1KQU_1","1KQU","1",1.3990884666666665
"1KV3_1","1KV3","1",1.3990884666666665
"1KXP_2","1KXP","2",1.3990884666666665
"1L8K_1","1L8K","1",1.3990884666666665
"1LD7_2","1LD7","2",1.3990884666666665
"1LE7_1","1LE7","1",1.3990884666666665
"1LPH_1","1LPH","1",1.3990884666666665
"1LXI_1","1LXI","1",1.3990884666666665
"1M6B_1","1M6B","1",1.3990884666666665
"1N2K_1","1N2K","1",1.3990884666666665
"1NI4_1","1NI4","1",1.3990884666666665
"1NUO_1","1NUO","1",1.3990884666666665
"1NW9_2","1NW9","2",1.3990884666666665
"1NZZ_1","1NZZ","1",1.3990884666666665
"1O00_1","1O00","1",1.3990884666666665
"1O6O_1","1O6O","1",1.3990884666666665
"1O6P_1","1O6P","1",1.3990884666666665
"1OC0_2","1OC0","2",1.3990884666666665
"1OHC_1","1OHC","1",1.3990884666666665
"1OLL_1","1OLL","1",1.3990884666666665
"1OS3_1","1OS3","1",1.3990884666666665
"1P0M_1","1P0M","1",1.3990884666666665
"1P0Q_1","1P0Q","1",1.3990884666666665
"1P49_1","1P49","1",1.3990884666666665
"1P6F_1","1P6F","1",1.3990884666666665
"1PDG_1","1PDG","1",1.3990884666666665
"1Q4K_1","1Q4K","1",1.3990884666666665
"1Q4V_1","1Q4V","1",1.3990884666666665
"1QE6_1","1QE6","1",1.3990884666666665
"1QGR_1","1QGR","1",1.3990884666666665
"1QJ0_1","1QJ0","1",1.3990884666666665
"1QTY_1","1QTY","1",1.3990884666666665
"1R3R_1","1R3R","1",1.3990884666666665
"1R3S_1","1R3S","1",1.3990884666666665
"1R3T_1","1R3T","1",1.3990884666666665
"1R55_1","1R55","1",1.3990884666666665
"1REU_1","1REU","1",1.3990884666666665
"1REW_1","1REW","1",1.3990884666666665
"1REW_2","1REW","2",1.3990884666666665
"1RXD_1","1RXD","1",1.3990884666666665
"1S63_2","1S63","2",1.3990884666666665
"1S78_1","1S78","1",1.3990884666666665
"1SA4_2","1SA4","2",1.3990884666666665
"1SC7_4","1SC7","4",1.3990884666666665
"1T15_1","1T15","1",1.3990884666666665
"1T2U_1","1T2U","1",1.3990884666666665
"1T91_1","1T91","1",1.3990884666666665
"1TFG_1","1TFG","1",1.3990884666666665
"1TGK_1","1TGK","1",1.3990884666666665
"1TGR_1","1TGR","1",1.3990884666666665
"1TL8_4","1TL8","4",1.3990884666666665
"1TN6_2","1TN6","2",1.3990884666666665
"1TZI_3","1TZI","3",1.3990884666666665
"1U3V_1","1U3V","1",1.3990884666666665
"1U4P_1","1U4P","1",1.3990884666666665
"1US1_1","1US1","1",1.3990884666666665
"1VPF_1","1VPF","1",1.3990884666666665
"1VPP_1","1VPP","1",1.3990884666666665
"1WAQ_1","1WAQ","1",1.3990884666666665
"1WB0_1","1WB0","1",1.3990884666666665
"1WD8_1","1WD8","1",1.3990884666666665
"1WD9_1","1WD9","1",1.3990884666666665
"1WDA_1","1WDA","1",1.3990884666666665
"1WQJ_1","1WQJ","1",1.3990884666666665
"1XDV_1","1XDV","1",1.3990884666666665
"1XLU_1","1XLU","1",1.3990884666666665
"1XWD_1","1XWD","1",1.3990884666666665
"1XWW_1","1XWW","1",1.3990884666666665
"1Y8Q_1","1Y8Q","1",1.3990884666666665
"1ZD9_1","1ZD9","1",1.3990884666666665
"1ZJH_1","1ZJH","1",1.3990884666666665
"1ZKZ_1","1ZKZ","1",1.3990884666666665
"1ZMH_1","1ZMH","1",1.3990884666666665
"1ZMI_1","1ZMI","1",1.3990884666666665
"1ZMM_1","1ZMM","1",1.3990884666666665
