artifact,old_sha256,hardened_sha256,byte_identical,scientific_payload
ANALOGUE_RECOGNITION_MANIFEST.csv,b9639b6a13a0ec12c127a7e74bda4284202184bebc963e9181babcad6366ab1a,b9639b6a13a0ec12c127a7e74bda4284202184bebc963e9181babcad6366ab1a,True,True
materialization/MATERIALIZATION_OUTCOMES.csv,9f8db7ed02e458249be411892b54bc5f9e4d0d4c885bee88bc3632046ce440f2,9f8db7ed02e458249be411892b54bc5f9e4d0d4c885bee88bc3632046ce440f2,True,True
materialization/BATCH_RECEIPT.txt,e20f181b1a63a8c4169b3135b23e9e5f7bfa22a2441946a60524c6194218a606,a7daed5a982249c80e73f5763a48a470fc9526bd658726576aac2688a5a6ca1b,False,False
materialization/DCMB_HALOGEN_ASSIGNMENT_AUDIT.csv,c480be9c0f571b35c4d89aaad2444325fd863b0604ca6063509075933bd649a2,c480be9c0f571b35c4d89aaad2444325fd863b0604ca6063509075933bd649a2,True,True
materialization/PAIRWISE_DIAGNOSTICS.csv,a07ac73dc31947ca20a76be63bbad6d68c5b653ed25627eabe75be1989c2fc88,ddf0f9e23cced8ec501a90f53fb5805f7194412021bab1398449d7094ed59311,False,False
materialization/DIAGNOSTIC_SUMMARY.txt,552c0432196eee0411a5b2082b0987499630f589430252c40df344d63e0a572f,d21f154fdb90bdddb774d05842c6d4b42520cf40567e85fc3cf007aa73f7bc95,False,False
basins/BASINS.csv,ce144ca0a2555beff6ba94ebcab647328d6214110a962b0c1e132544aa230723,ce144ca0a2555beff6ba94ebcab647328d6214110a962b0c1e132544aa230723,True,True
basins/PAIR_ADMISSIONS.csv,7757b596f4cda2e639e38275049f9df6bd17be685e7de80e97b4aaf6fcf88b47,7757b596f4cda2e639e38275049f9df6bd17be685e7de80e97b4aaf6fcf88b47,True,True
basins/RECURRENT_EDGE_EVIDENCE.csv,aa13bd93fa78104b78000f0daf86b7a78814510f39386b84c180bb710ec62403,aa13bd93fa78104b78000f0daf86b7a78814510f39386b84c180bb710ec62403,True,True
basins/BASIN_EXECUTION_RECEIPT.txt,e9b4cf837c3cf140cad89fe8ffde656d1f1c4f6f4d701d9acf56ab336ce959d8,447deba3508c67c555ffde7914e6f29cf335f769255362d765a49b056ee3e05a,False,False
