geometry,skip,sampling_mode,acceptance_rate,acceptance_status,n,finite,raw_weight_min,raw_weight_max,effective_weight_min,effective_weight_max,max_normalized_weight,ess,ess_fraction,energy_mean,energy_variance,energy_min,energy_q01,energy_q50,energy_q99,energy_max,top1_variance_fraction,top5_variance_fraction,lag1,lag2,replay_hash
EQ,1009,DETERMINISTIC_HALTON_IMPORTANCE,NA,NOT_APPLICABLE_NO_MARKOV_PROPOSALS,128,128,3.1390691927953140e-06,368036.40670000284,2.2616267290331338e-13,0.048644321868479175,0.26197102873468950,6.9189434241360080,0.054054245501062560,78.261890126947720,6592.6161554034570,-90562.824001772460,-10.055249223725827,34.745130280238826,318.77237216433366,2620.1477851783643,0.68248116270506460,0.90763316770976710,-0.0091631944009658090,-0.010355225628448870,cd7926f191d1dc56b1ce84a7a72f5f647226c1e9b4fc47f4733388b4bd8a2c68
EQ,2017,DETERMINISTIC_HALTON_IMPORTANCE,NA,NOT_APPLICABLE_NO_MARKOV_PROPOSALS,128,128,4.3192002036265495e-06,6827808.1035958270,5.1179625975099120e-13,0.24960282580620738,0.84980321471286800,1.3750283554543228,0.010742409026986897,12.766032106243726,947.63228235956000,-398.33270401378770,-88.766518545877500,23.872293403649760,23.872293403649760,384.77043247392700,0.49648669737758483,0.81727098415801780,0.55644124536896610,0.58586439313476580,6205d79f7eaf8f4873f6fc9a1a0496fa8231552c51b71d3e3a15c05830a5ad2e
EQ,3019,DETERMINISTIC_HALTON_IMPORTANCE,NA,NOT_APPLICABLE_NO_MARKOV_PROPOSALS,128,128,2.4006328179799660e-06,18096349.922835810,1.4547639763837859e-16,12.273448195900563,0.60536497618311860,2.2737569394636830,0.017763726089560023,213.56424923062650,22257.842817927660,-17297.110067429750,-23.801078427622546,331.49330540227050,331.49330540227050,766.92603977895350,0.84454749222332280,0.96571891662878660,-0.012964803431195706,-0.013939246357360840,329cf99f54e6aa2271d6eb8e09c67abeaeb2850cbddc9db38a33fd27748dc4cd
EQ,4027,DETERMINISTIC_HALTON_IMPORTANCE,NA,NOT_APPLICABLE_NO_MARKOV_PROPOSALS,128,128,5.4704126547099200e-06,394915.92138515510,2.3248479281979220e-14,0.13311983761975058,0.66710576103504560,2.1563730070470783,0.016846664117555300,64.603022074556690,2387.6392668182784,-2699.9631113275050,-119.54861902279265,92.238367404345940,103.88619082939235,830.34462941608300,0.39722336682582693,0.83256792330686920,0.018594615647503678,0.025422367247502766,688caa2dc5bcf96c68ac6c96587ac8975f8389cc0b43c312ea29d5b4e275e748
COMPRESSED,1009,DETERMINISTIC_HALTON_IMPORTANCE,NA,NOT_APPLICABLE_NO_MARKOV_PROPOSALS,128,128,3.1385754240412680e-06,367501.40756644050,2.0493716868681238e-11,0.052168051403158534,0.34793480057403325,5.2502765196557160,0.041017785309810280,63.192554962813524,4646.0039236477720,-935.07092422269270,-7.7284417490287804,37.095616611028350,352.66090359471224,3666.5674698502917,0.63722281475138190,0.90950307169386290,0.037323280382499880,0.025698019292719552,b863e6f581182a402aee12151b37214b60a438afec73c01f7157e4a78db8cf18
COMPRESSED,2017,DETERMINISTIC_HALTON_IMPORTANCE,NA,NOT_APPLICABLE_NO_MARKOV_PROPOSALS,128,128,4.3189356639855120e-06,6546903.6850687545,1.9884893868797096e-12,0.073604169450423360,0.77040274917802910,1.6545584105089615,0.012926237582101261,7.6509336289550570,1441.5246297713745,-271.61076285049313,-86.086192674322850,24.804101275041496,24.804101275041496,3954.9191601447696,0.37341180138099500,0.81841928043583230,0.020585786661378367,0.070230885050394750,49dc3d53f15acc31bd2544c89eee6a29c824e516dd0eca55c023e99257690c26
COMPRESSED,3019,DETERMINISTIC_HALTON_IMPORTANCE,NA,NOT_APPLICABLE_NO_MARKOV_PROPOSALS,128,128,2.4005849430721370e-06,16653927.158292444,5.2414239341218370e-13,2.5946216566646996,0.54732243391208690,2.6311534058054358,0.020555885982854967,196.62518163931722,23221.493951214510,-2515.1964092379894,-23.856020703488348,331.09437517049630,331.09437517049630,990.22188224030720,0.82392866801336720,0.95381360440231530,0.36825164348584110,-0.017302089824607642,a31663ec34d7aabd8d1c69af0d5bf9805098247457ffd3653a82fd9e6f272eec
COMPRESSED,4027,DETERMINISTIC_HALTON_IMPORTANCE,NA,NOT_APPLICABLE_NO_MARKOV_PROPOSALS,128,128,5.4702502349275240e-06,389406.40731106006,2.5329981651452550e-15,0.098386676772720640,0.64742271796383620,2.2819675123113465,0.017827871189932395,64.518742086951660,2453.5641197206487,-23091.259386696570,-73.409902275076870,94.383827507688620,109.20820196162558,417.23235176885180,0.46953723715182955,0.79458331880702020,-0.0077227264096086780,-0.0097510961763179520,83d3f0876a096529569d73ae32185b53f159fd0234808b9b8df397481234082f
STRETCHED,1009,DETERMINISTIC_HALTON_IMPORTANCE,NA,NOT_APPLICABLE_NO_MARKOV_PROPOSALS,128,128,3.1392674794095440e-06,368598.56477980036,9.7753256972117910e-12,0.55893096395017870,0.28031783264666077,6.6066288945306160,0.051614288238520440,95.333073507194310,8010.6771744848280,-1106.1949072854677,-12.464583831655581,64.269997453461950,331.86812850307430,5408.7551765482085,0.65035436302867310,0.90272708811051900,0.030945723393571990,0.047715610139738900,54104650accaf841fb9baf4504a5c9f9edfd252d6c680fd2501ddb09eba2115b
STRETCHED,2017,DETERMINISTIC_HALTON_IMPORTANCE,NA,NOT_APPLICABLE_NO_MARKOV_PROPOSALS,128,128,4.3195906563856415e-06,6941521.7092527320,4.8827526880777800e-13,3.7552810474773080,0.92528979285568340,1.1668123563384480,0.0091157215338941250,21.029155560090690,640.43064373205230,-438.45404250449104,-66.660929609417990,27.099267696412944,27.099267696412944,385.64799707481820,0.37168701036226850,0.86367001819824360,0.54566493913646640,0.56906565281715360,3aad5f4323f46b4250cbbfda2f38ea9cd573e35821212f33ed29f307fcd33e1a
