target_id,parent_minimum,source_kind,geometry_path,geometry_file_sha256,geometry_identity,scientific_identity,specification_checksum,resolution,reuse_source
force-campaign-01,MIN01,VERIFIED_MINIMUM,/Users/yazan/totah-lab/analysis/prometheus/force-campaign-36/geometries/MIN01/qm_native_01.xyz,3345f3622c72f8b03970afb8c1ff9611fc073b7121bc91d95ad12482a5460406,478bec05ff94f164b58c6072235829bb605b2c368879b02792f7393429cef218,e1403125c9ab79cdcd626a330da8549349f7fb1175e867e0e9749bed270d6749,008df2859e43d7f2d1b0fc1a5ae5532107640f98cc80c8309356719c9d8b3dca,GENERATE_NEW,
force-campaign-02,MIN01,QM_OPTIMIZATION_PATH,/Users/yazan/totah-lab/analysis/prometheus/force-campaign-36/geometries/MIN01/qm_native_02.xyz,d0d95133055cf4ba3e0a0caa2c6b83f23150d2a23bc3a182457ef740b0eb126c,2b416efe4980b3913b55a353ef4a675e652563b67a73cad4d34c7e0a27d290f1,b449d87dbc5574c109870b39749268975bb9e7fc4d1ae41a89d4315346d78fba,3ff8c15d1ec3510e68cfb7e64243d1a3559874463b16ae7127bf169e23f6fba7,GENERATE_NEW,
force-campaign-03,MIN01,QM_OPTIMIZATION_PATH,/Users/yazan/totah-lab/analysis/prometheus/force-campaign-36/geometries/MIN01/qm_native_03.xyz,422e9faeb70bb3b275d577df72ec896209decbbdb0d0e44bb9edd9d331bb07f5,ad5ff4afd08891e629e3664c3ad3d48e4108d566d36a76a56893df94f59571dc,afc144f30e142cac8f942ac8e0c8b4178eec7b82c8c581e170573d80c4714776,5e3f4a11494606c2912153fd8871aab9693cd21314a8c976533a7e52c9904fd6,GENERATE_NEW,
force-campaign-04,MIN01,QM_OPTIMIZATION_PATH,/Users/yazan/totah-lab/analysis/prometheus/force-campaign-36/geometries/MIN01/qm_native_04.xyz,6e2adfc30097ac5e867cae8d97df7f15b973edd3526bb6b089a8488c06279db3,46be7c5feca6f83d4c092dd08e3bae03e40f501563f257d1e71bad7870717b67,99baed5caea56430c3530ee8a46e9c5e5f63a7a77f990ef406831c1b44ac4fef,319ddc435a40f7851baf256d3264491e977ec5bfbc1628feabcc09a5816287a4,GENERATE_NEW,
force-campaign-05,MIN01,QM_OPTIMIZATION_PATH,/Users/yazan/totah-lab/analysis/prometheus/force-campaign-36/geometries/MIN01/qm_native_05.xyz,83c536a5c0da05f064b7107fe0db8b3c367b7e4068f0ce0c1389beae4a1e7dad,cf805093dc6743b7cadc8e6176774c539eedb2606d311ec15ba063087f367eeb,b7a6f01564a0f8515d809b03a46b310de62c53fd982d4ad9981d91213363fe4c,d86bd8e84b16ee195d8dcb0784776922b5a18b4dc1fbe6971c2614908e5b546a,GENERATE_NEW,
force-campaign-06,MIN01,QM_OPTIMIZATION_PATH,/Users/yazan/totah-lab/analysis/prometheus/force-campaign-36/geometries/MIN01/qm_native_06.xyz,ce1c218d0c87a9e6147d88e11b6e3ff93bee7c9d09fc4225f9e1006970a15298,e65b02603efe06b872ee6e6f233223681ab5dcedbeb6f7b9c7d30d992128681c,72590d4881d973e58eeb0d2e288241b339e0bbe38f2710975d05ec2d7e73f537,d586e1afc97d67e63ec46500e45d5ed698568ae9cf82274ab8e7bbaf04578fcc,GENERATE_NEW,
force-campaign-07,MIN01,QM_OPTIMIZATION_PATH,/Users/yazan/totah-lab/analysis/prometheus/force-campaign-36/geometries/MIN01/qm_native_07.xyz,c70b9731d1df26b0fba77391af411ff55d3a747aad5745822de18238464705b2,9a10d24d3dea98daf0c105db8282c175cb798bd692bab914cc305172451547f0,16405fbb8be3eb5aec67bcb2e6e7b2a50983fa9cc4942062d5613ecbfb79d10e,528c620a6d8493734ec17d60f8899df13ea11bf4f499ae210a65c8187af853f4,GENERATE_NEW,
force-campaign-08,MIN01,QM_OPTIMIZATION_PATH,/Users/yazan/totah-lab/analysis/prometheus/force-campaign-36/geometries/MIN01/qm_native_08.xyz,9662c0bb31ff1588d1e0f9a98ffa32f9a8fd87cb63206c9c1e9d60fe74031fd4,6760b38545aca44d020f8ea86fd690d55fe51016a68714d76f2041d8cb2afe94,903cc59b7b3cce2ca7d4ae9a8c8e00e636c5bd1748f72baf7d7901a2bca44d39,9aa2803343eda4ed83f6b55ebd2a5c957e2cd327f246365e0d4c1ae4f93655e8,GENERATE_NEW,
force-campaign-09,MIN01,QM_OPTIMIZATION_PATH,/Users/yazan/totah-lab/analysis/prometheus/force-campaign-36/geometries/MIN01/qm_native_09.xyz,adfe2a0c253cb93efe93a1dbd78bff26a975a7a5b0606916bc364b46201d222a,26a9608a77e76064b088019005121fc38ba5b1bb2962bb168961883669feed40,4c0c0e497466cd824e81080b62adb7d3213fd8a7058684790cb1d42582a0c89a,997844bbabeeb01caca94ee427208c4c03152cd7247998411d20336f33c42608,GENERATE_NEW,
force-campaign-10,MIN01,QM_OPTIMIZATION_PATH,/Users/yazan/totah-lab/analysis/prometheus/force-campaign-36/geometries/MIN01/qm_native_10.xyz,405202dc1d0dba370ad3d07863537bde76321783364f22f486e1aedd2050fce9,96b08e29d1be949545ba449471356edec26705c2d22d7a26a9384bf8c4f8f9da,28d5e7bc7d04f84b2d1a1f368282ab561335b4f14c0ce8840ad1730ca5c04e4b,fd55cf2587c712ac0d49943ea2084d65844a4cc0759f4afc5406e3adf2da52e0,GENERATE_NEW,
force-campaign-11,MIN01,QM_OPTIMIZATION_PATH,/Users/yazan/totah-lab/analysis/prometheus/force-campaign-36/geometries/MIN01/qm_native_11.xyz,730f420d930b9b2eab29ea8e5f10298a9eeea8783fc8ae82750bddae3273cb18,f9424b5f5254b4aacf0fdf9c6b59f1c4ab6efcbf9f1703aaaf75638383b52196,a9e0a0db9757f5fba5036abf5f4403411554d69c846b9c41769caaad82689bfa,166e84ea1386a26480825bdfdc934356de0d55ef67cbceedd950909451fd6aea,GENERATE_NEW,
