geometry,atom_index,axis,prometheus_force_hartree_per_bohr,reference_force_hartree_per_bohr,error_hartree_per_bohr,force_se_hartree_per_bohr
EQ,0,x,-0.4536179522413022,-0.006097234230116216,-0.447520718011186,4.232923453830645
EQ,0,y,-7.751859929393731,-0.007946071600254427,-7.743913857793477,2.4136407333805487
EQ,0,z,-3.442472394007111,0.0,-3.442472394007111,5.181156582417804
EQ,1,x,-22.690551793684108,0.007898764478635485,-22.698450558162744,3.8246137986772757
EQ,1,y,20.260849406960688,0.00025138331915478267,20.26059802364153,1.6116248196612653
EQ,1,z,0.8887316550204982,0.0,0.8887316550204982,4.413662438104352
EQ,2,x,23.14416974592791,-0.0018015306374573451,23.14597127656537,3.3792321868273554
EQ,2,y,-12.508989477566729,0.007694687892161569,-12.51668416545889,1.8319739813531568
EQ,2,z,2.5537407389860127,0.0,2.5537407389860127,5.462424210915359
COMPRESSED,0,x,3.3143903739314737,-0.15275794236815562,3.4671483162996295,2.8766295104599955
COMPRESSED,0,y,1.2106276317916809,0.0050596903774781845,1.2055679414142026,3.6541149113749123
COMPRESSED,0,z,9.552324635066157,0.0,9.552324635066157,3.501408232737106
COMPRESSED,1,x,-15.59645030592992,0.16597843880799604,-15.762428744737916,1.72694537740646
COMPRESSED,1,y,14.619981287886162,-0.013008659177462446,14.632989947063624,2.39411375504649
COMPRESSED,1,z,-3.0680435002922364,0.0,-3.0680435002922364,2.4355327608685147
COMPRESSED,2,x,12.282059931997878,-0.01322049682877849,12.295280428826656,2.765380833569109
COMPRESSED,2,y,-15.830608919679435,0.007948968411046187,-15.838557888090481,3.7785564441520822
COMPRESSED,2,z,-6.484281134773999,0.0,-6.484281134773999,2.610011967550415
STRETCHED,0,x,1.6355887159992903,-0.061061742440550106,1.6966504584398405,3.4971724402025512
STRETCHED,0,y,-14.562980856867284,0.06179026157325995,-14.624771118440544,5.246259634692109
STRETCHED,0,z,3.3338767044568196,0.0,3.3338767044568196,3.4990081854254047
STRETCHED,1,x,-28.557897581194084,0.006310796432862262,-28.564208377626947,3.708798637677973
STRETCHED,1,y,20.59914198445864,0.018275941363747515,20.580866043094893,4.034261581021029
STRETCHED,1,z,-0.16007110826693882,0.0,-0.16007110826693882,2.849503090830273
STRETCHED,2,x,26.922308865196328,0.054750945813218814,26.86755791938311,2.3471017898912416
STRETCHED,2,y,-6.036161127592095,-0.0800662031314765,-5.9560949244606185,2.9085514374316865
STRETCHED,2,z,-3.1738055961898874,0.0,-3.1738055961898874,2.5671859388998084
