parameter_index,covariance_gradient,finite_difference_gradient,absolute_error,tolerance,passes
0,-2.1857572983018922,-1.1468159107352882,1.0389413875666040,3.0000000000000000e-05,false
1,2.0999438231524876,0.75629867274384920,1.3436451504086384,3.0000000000000000e-05,false
2,-1.7605670510705953,0.55316643138292320,2.3137334824535185,3.0000000000000000e-05,false
3,1.0267764309047910,-2.7439366199755177,3.7707130508803086,3.0000000000000000e-05,false
4,-4.2368253319926190,-15.277314109440887,11.040488777448267,3.0000000000000000e-05,false
5,4.1727155898914680,12.139653013221174,7.9669374233297060,3.0000000000000000e-05,false
6,-3.7698716184000430,-5.1602348875023910,1.3903632691023478,3.0000000000000000e-05,false
7,2.6431886508511355,-2.0176872786437094,4.6608759294948445,3.0000000000000000e-05,false
8,-4.1625108548082370,-12.350078163136935,8.1875673083286990,3.0000000000000000e-05,false
9,4.1014681954565670,8.7297882253589700,4.6283200299024030,3.0000000000000000e-05,false
10,-3.7069323215462770,-0.49949711716790190,3.2074352043783750,3.0000000000000000e-05,false
11,2.5927196406530990,-8.1630824518841300,10.755802092537229,3.0000000000000000e-05,false
12,-4.2754581293629960,-10.118725981889120,5.8432678525261240,3.0000000000000000e-05,false
13,4.1781800543833040,5.8816500089209360,1.7034699545376313,3.0000000000000000e-05,false
14,-3.6869445419616000,3.9594328439251925,7.6463773858867920,3.0000000000000000e-05,false
15,2.4425076262584025,-14.598479152805321,17.040986779063722,3.0000000000000000e-05,false
16,-4.2014271320072510,-14.516096844552350,10.314669712545100,3.0000000000000000e-05,false
17,4.1357180911808555,11.340660903913502,7.2049428127326465,3.0000000000000000e-05,false
18,-3.7290128990771585,-4.2694127741493840,0.54039987507222520,3.0000000000000000e-05,false
19,2.5987449593025933,-2.9962653433912580,5.5950103026938510,3.0000000000000000e-05,false
